Scenario,Sector,TargetYear,DeltaT_degC
ALT 1,ALL,2030,0.0
ALT 1,Agriculture,2030,0.0
ALT 1,Industry,2030,0.0
ALT 1,Livestock,2030,0.0
ALT 1,Residential,2030,0.0
ALT 1,Transport,2030,0.0
ALT 1,Waste,2030,0.0
ALT 2,ALL,2030,0.0
ALT 2,Agriculture,2030,0.0
ALT 2,Industry,2030,0.0
ALT 2,Livestock,2030,0.0
ALT 2,Residential,2030,0.0
ALT 2,Transport,2030,0.0
ALT 2,Waste,2030,0.0
ALT 3,ALL,2030,0.0
ALT 3,Agriculture,2030,0.0
ALT 3,Industry,2030,0.0
ALT 3,Livestock,2030,0.0
ALT 3,Residential,2030,0.0
ALT 3,Transport,2030,0.0
ALT 3,Waste,2030,0.0
ALT 4,ALL,2030,0.0
ALT 4,Transport,2030,0.0
ALT 4,Waste,2030,0.0
ALT 1,ALL,2040,3.122141863274966e-08
ALT 1,Agriculture,2040,1.179425992328849e-08
ALT 1,Industry,2040,-8.192295854138908e-11
ALT 1,Livestock,2040,8.705768719542763e-09
ALT 1,Residential,2040,1.0843863446770744e-09
ALT 1,Transport,2040,1.7222055426773768e-09
ALT 1,Waste,2040,7.99672106110534e-09
ALT 2,ALL,2040,1.6954021470026726e-07
ALT 2,Agriculture,2040,1.4870739871755032e-08
ALT 2,Industry,2040,1.4286685304775676e-10
ALT 2,Livestock,2040,1.3078317818892686e-07
ALT 2,Residential,2040,2.778087706284284e-09
ALT 2,Transport,2040,2.359128523386233e-09
ALT 2,Waste,2040,1.860621355686709e-08
ALT 3,ALL,2040,2.116766487110944e-07
ALT 3,Agriculture,2040,1.6269530374330516e-08
ALT 3,Industry,2040,1.410463840593089e-10
ALT 3,Livestock,2040,1.542729795014836e-07
ALT 3,Residential,2040,3.138415173127112e-09
ALT 3,Transport,2040,0.0
ALT 3,Waste,2040,3.7854677278093844e-08
ALT 4,ALL,2040,4.7235321351067104e-08
ALT 4,Transport,2040,2.7837438438588032e-09
ALT 4,Waste,2040,4.44515775072083e-08
ALT 1,ALL,2047,8.88439748151404e-08
ALT 1,Agriculture,2047,4.047917949183286e-08
ALT 1,Industry,2047,-4.939153090444781e-10
ALT 1,Livestock,2047,2.3440261296287887e-08
ALT 1,Residential,2047,1.2959238885934397e-09
ALT 1,Transport,2047,5.053940918511706e-09
ALT 1,Waste,2047,1.906858452895899e-08
ALT 2,ALL,2047,4.4891424500192875e-07
ALT 2,Agriculture,2047,4.841574307337026e-08
ALT 2,Industry,2047,4.3366073843903467e-10
ALT 2,Livestock,2047,3.5213339208354327e-07
ALT 2,Residential,2047,3.320025414238944e-09
ALT 2,Transport,2047,8.653161056910706e-09
ALT 2,Waste,2047,3.5958262635426496e-08
ALT 3,ALL,2047,5.411384873886434e-07
ALT 3,Agriculture,2047,5.1773730027929645e-08
ALT 3,Industry,2047,2.2441978214393344e-10
ALT 3,Livestock,2047,4.1604377520516143e-07
ALT 3,Residential,2047,3.859296177964808e-09
ALT 3,Transport,2047,7.853478553021903e-10
ALT 3,Waste,2047,6.845191834014149e-08
ALT 4,ALL,2047,9.361101976410595e-08
ALT 4,Transport,2047,1.0352248781315617e-08
ALT 4,Waste,2047,8.325877098279034e-08
